region,categorie_vehicule,agglomeration,atmosphere,luminosite,etat_surface,intersection,place,disposition_securite,gravite,motif_deplacement,type_collision,mois,semaine,jour,heure,age
11,3,2,4,2,4,1,1,1,1,6,2,6,25,3,11,81
11,3,2,4,2,4,1,1,1,1,2,2,6,23,2,17,51
11,3,2,4,2,4,6,1,1,1,6,2,6,22,2,15,43
11,3,2,4,2,4,1,1,1,1,2,2,6,23,5,18,87
11,1,2,4,2,4,1,1,5,1,1,2,6,25,2,18,62
75,3,2,4,2,4,1,1,1,1,5,2,8,32,3,11,53
27,3,2,4,2,4,1,1,1,1,5,2,3,9,4,17,93
27,3,2,7,2,3,1,1,1,1,5,2,5,19,4,16,43
27,3,2,7,2,3,1,1,1,1,6,2,5,19,4,16,67
27,3,2,4,2,4,1,1,1,1,2,2,6,22,3,14,32
27,3,2,4,2,4,1,1,1,1,2,2,8,32,6,13,42
27,3,2,4,2,4,1,1,1,1,5,2,8,32,6,13,92
44,3,2,4,4,4,1,1,1,1,2,2,8,32,5,21,33
44,3,2,4,4,4,1,1,1,1,6,2,8,32,6,21,38
44,16,2,4,2,4,1,1,1,1,2,2,8,33,3,16,63
76,3,2,4,2,4,1,1,1,1,2,2,8,32,3,17,40
76,3,2,4,2,4,1,1,1,1,2,2,8,32,2,19,37
76,3,2,4,2,4,1,1,1,1,2,2,8,32,5,19,67
76,7,2,4,2,4,1,1,2,1,2,2,8,34,2,20,57
76,3,2,4,2,4,1,1,1,1,1,2,8,34,3,15,55
76,3,2,4,2,4,1,1,1,1,3,2,8,33,5,9,52
76,3,2,4,2,4,1,1,1,1,3,2,8,33,3,9,44
76,3,2,4,2,4,1,1,1,1,3,2,8,31,3,11,58
76,3,2,4,2,4,1,1,1,1,6,2,8,34,5,16,58
84,11,2,4,2,4,1,1,1,1,1,2,4,16,4,12,65
84,3,2,4,2,4,1,1,1,1,2,2,4,13,5,16,69
75,3,2,4,2,4,1,1,1,1,6,2,7,27,2,18,48
44,3,2,4,4,4,1,1,1,1,2,2,9,37,2,21,44
44,3,2,4,4,4,1,2,1,1,2,2,9,37,2,21,50
44,3,2,4,4,4,1,3,1,1,2,2,9,37,2,21,39
44,3,2,4,2,4,1,1,1,1,2,2,9,35,6,13,81
44,3,2,4,2,4,1,1,1,1,2,2,9,35,4,11,88
52,3,2,4,2,4,1,1,1,1,2,2,7,29,1,18,79
84,3,2,7,2,4,3,1,1,1,1,2,6,23,3,9,61
84,11,2,4,2,4,1,1,1,1,1,2,6,24,2,9,59
11,19,2,4,2,4,7,1,2,1,2,2,10,39,5,15,59
11,3,2,4,2,4,1,1,1,1,2,2,10,39,5,17,63
11,3,2,4,2,4,1,1,1,1,2,2,10,39,7,15,55
11,3,2,7,2,3,1,1,1,1,2,2,10,40,1,13,65
11,3,2,8,4,3,1,1,1,1,5,2,10,40,1,21,38
11,2,2,4,2,4,5,1,3,1,1,2,10,39,4,16,43
11,3,2,4,2,4,1,1,3,1,2,2,10,39,4,18,53
11,3,2,4,2,4,1,1,1,1,2,2,10,39,6,15,33
11,3,2,4,2,4,1,1,1,1,2,2,10,39,6,17,54
11,3,2,4,4,4,2,1,1,1,2,2,10,39,6,20,62
76,2,1,4,2,4,1,1,1,1,3,2,8,31,3,19,43
76,2,1,4,2,4,4,2,1,1,1,2,8,32,2,9,44
76,2,1,4,2,4,4,1,1,1,1,2,8,32,2,9,44
27,1,1,4,2,4,1,1,1,1,1,2,6,23,1,11,42
53,3,1,8,2,4,1,1,1,1,2,2,2,5,1,14,97
53,3,1,4,2,4,1,1,1,1,2,2,3,9,6,17,78
28,3,1,4,2,4,1,1,1,1,2,2,8,31,6,15,57
28,8,1,4,2,4,1,1,1,1,1,2,8,31,2,8,52
28,3,1,4,2,4,1,1,1,1,6,2,8,32,7,6,78
75,3,1,4,2,4,2,1,1,1,2,2,7,28,3,11,84
44,5,1,4,2,4,1,1,1,1,1,2,7,29,5,12,38
84,2,1,4,2,4,1,1,1,1,2,2,7,28,3,17,79
84,2,1,4,2,4,1,1,1,1,1,2,7,27,1,14,38
84,5,1,4,3,4,1,1,1,1,1,2,7,29,6,0,53
27,3,1,4,2,4,1,1,1,1,3,2,9,36,2,11,70
53,3,1,4,2,4,1,1,1,1,2,2,5,17,7,15,56
27,9,1,4,2,4,1,1,11,1,1,2,7,27,4,15,67
27,3,1,4,2,4,1,1,1,1,2,2,7,28,4,12,82
27,5,1,7,2,3,1,1,1,1,1,2,7,28,5,14,41
27,9,1,4,2,4,1,1,1,1,1,2,7,29,4,11,68
27,3,1,4,2,4,1,1,1,1,3,2,7,30,1,12,48
27,3,1,4,2,4,1,1,1,1,2,2,7,30,1,12,64
27,2,1,4,5,4,1,1,1,1,1,2,8,31,1,0,48
44,5,1,3,3,3,1,1,3,1,1,2,3,12,5,5,45
32,2,1,4,2,4,1,1,1,1,1,2,7,28,2,9,67
32,1,1,4,2,4,1,1,1,1,1,2,7,28,3,7,53
32,3,1,4,3,4,1,1,12,1,2,2,7,30,5,22,55
52,2,1,7,3,3,1,1,1,1,2,2,8,34,4,4,52
84,8,1,4,3,4,1,1,1,1,1,2,6,24,4,0,55
75,3,1,4,2,4,1,1,1,1,5,2,9,35,7,16,33
11,3,1,2,2,3,1,1,1,1,2,2,2,5,6,14,62
11,5,1,4,2,4,1,1,1,1,1,2,3,11,1,18,40
11,3,1,4,2,4,1,1,1,1,5,2,3,9,1,13,68
11,3,1,4,2,4,1,2,1,1,5,2,3,9,1,13,41
11,3,1,4,3,4,1,1,1,1,2,2,3,9,6,21,63
11,3,1,4,3,4,1,1,1,1,2,2,3,9,6,21,73
11,2,1,4,2,4,1,1,1,1,4,2,3,10,3,8,36
11,8,1,4,1,4,1,1,1,1,1,2,3,11,2,5,73
11,20,1,4,2,4,1,1,1,1,1,2,3,11,5,14,40
11,2,1,4,2,4,1,1,1,1,1,2,3,11,5,14,40
11,3,1,4,2,4,1,1,3,1,6,2,3,13,1,14,43
11,3,1,8,2,3,1,1,3,1,2,2,3,12,6,16,47
11,1,1,4,3,4,1,1,1,1,2,2,3,13,2,4,93
44,3,1,4,2,4,4,3,1,1,2,2,8,31,3,19,45
44,3,1,4,2,4,4,1,1,1,2,2,8,31,3,19,71
44,3,1,4,2,4,4,2,1,1,2,2,8,31,3,19,87
44,3,1,4,2,4,4,4,1,1,2,2,8,31,3,19,84
84,3,1,3,4,3,1,1,1,1,1,2,2,5,4,8,47
84,3,1,4,4,4,1,1,1,1,2,2,2,6,7,4,53
84,3,1,4,4,4,1,2,1,1,2,2,2,6,7,4,35
84,3,1,4,2,4,1,1,1,1,2,2,2,7,3,16,36
84,18,1,4,2,4,1,1,2,1,2,2,7,26,7,11,81
84,3,1,6,2,4,1,1,1,1,1,2,7,28,6,14,37
93,3,1,4,3,4,1,2,3,1,2,2,3,8,7,1,33
93,3,1,4,3,4,1,1,3,1,2,2,3,8,7,1,36
93,3,1,4,3,4,1,1,1,1,2,2,3,8,7,1,79
93,3,1,4,2,4,1,1,3,1,2,2,3,13,2,17,74
84,23,1,7,2,3,1,1,1,1,1,2,3,9,1,7,44
84,3,1,4,2,4,1,2,1,1,2,2,3,9,5,17,76
84,3,1,4,2,4,1,1,1,1,2,2,3,9,5,17,48
84,3,1,4,2,4,1,2,1,1,2,2,3,9,5,17,46
84,3,1,4,4,4,1,2,1,1,2,2,3,11,1,20,44
84,3,1,4,4,4,1,1,1,1,2,2,3,11,1,20,46
84,2,1,4,2,4,1,1,1,1,1,2,3,11,3,11,42
84,5,1,4,4,4,1,1,1,1,1,2,3,12,4,22,66
84,3,1,4,4,4,1,1,1,1,1,2,3,12,4,22,56
75,8,1,4,2,4,1,1,1,1,1,2,8,32,5,9,53
75,3,1,4,3,4,1,1,1,1,2,2,8,33,4,1,79
75,3,1,4,2,4,1,1,1,1,3,2,8,33,4,15,45
93,10,1,4,2,4,1,1,1,1,1,2,7,30,3,7,58
53,3,1,4,2,4,1,1,3,1,3,2,3,9,1,8,69
53,3,1,4,1,4,1,1,1,1,2,2,4,17,4,20,32
53,3,1,4,2,4,1,1,1,1,2,2,4,15,6,16,33
53,3,1,4,2,4,1,1,1,1,2,2,4,15,6,16,36
84,3,1,4,2,4,1,1,1,1,2,2,4,13,7,9,45
84,5,1,4,2,4,1,1,1,1,1,2,4,14,5,9,59
84,2,1,4,2,4,1,1,1,1,6,2,4,13,6,13,68
84,3,1,4,4,4,1,1,1,1,2,2,4,15,6,2,69
84,3,1,4,4,4,1,1,1,1,2,2,4,15,6,2,42
75,8,1,4,3,4,1,1,1,1,1,2,4,14,1,1,55
75,8,1,4,4,4,1,1,3,1,1,2,4,16,6,0,40
75,2,1,7,1,3,1,1,1,1,2,2,4,15,2,17,57
75,2,1,7,1,3,1,2,1,1,2,2,4,15,2,17,53
75,2,1,7,1,3,1,3,1,1,2,2,4,15,2,17,33
75,3,1,4,2,4,1,1,1,1,6,2,5,19,7,11,47
75,3,1,7,2,3,1,1,1,1,3,2,5,19,1,19,41
75,2,1,4,2,4,1,1,1,1,3,2,5,17,7,18,52
75,3,1,4,2,4,1,1,1,1,3,2,5,18,2,7,43
75,3,1,4,2,4,1,2,1,1,2,2,6,25,7,15,77
75,3,1,4,2,4,1,1,1,1,2,2,6,25,7,15,78
75,5,1,4,2,4,1,1,1,1,1,2,6,25,6,19,48
75,5,1,4,2,4,1,2,1,1,1,2,6,25,6,19,40
75,3,1,4,2,4,1,1,1,1,2,2,6,25,4,9,80
75,3,1,4,2,4,1,2,1,1,2,2,6,25,4,9,70
75,3,1,4,4,4,1,1,1,1,2,2,6,24,6,2,64
75,3,1,4,4,4,1,1,1,1,2,2,6,24,6,2,38
75,3,1,4,2,4,1,1,1,1,2,2,6,24,6,8,38
75,3,1,4,2,4,1,1,1,1,1,2,6,25,3,10,71
75,2,1,3,2,3,1,1,1,1,1,2,6,22,5,9,39
75,5,1,4,2,4,1,1,1,1,1,2,7,29,1,14,51
75,3,1,4,2,4,1,1,1,1,2,2,7,30,2,20,79
75,3,1,4,2,4,1,2,1,1,2,2,7,30,2,20,79
75,2,1,4,2,4,1,1,1,1,6,2,7,29,6,7,45
75,2,1,4,2,4,1,2,1,1,6,2,7,29,6,7,45
75,3,1,4,2,4,1,4,1,1,2,2,7,29,6,7,37
75,3,1,4,2,4,1,2,1,1,2,2,7,29,6,7,49
75,3,1,4,4,4,1,2,1,1,6,2,7,26,7,1,72
75,3,1,4,2,4,1,1,1,1,1,2,7,27,7,15,35
75,3,1,4,2,4,1,1,1,1,2,2,7,27,7,15,70
75,3,1,4,2,4,1,1,1,1,2,2,8,32,7,20,55
75,3,1,4,2,4,1,1,1,1,2,2,8,32,7,20,43
75,3,1,4,2,4,1,1,1,1,1,2,8,31,2,12,53
75,2,1,4,2,4,1,2,1,1,2,2,8,31,6,11,83
75,2,1,4,2,4,1,1,1,1,2,2,8,31,6,11,74
75,3,1,4,2,4,1,1,1,1,2,2,8,33,5,7,48
75,3,1,4,2,4,1,2,1,1,2,2,8,33,5,7,52
27,8,1,4,1,4,1,1,1,1,1,2,7,27,5,5,73
27,8,1,4,3,4,1,1,1,1,1,2,8,32,5,3,54
27,3,1,4,2,4,6,1,1,1,2,2,8,32,7,18,44
27,3,1,4,2,4,6,1,1,1,2,2,8,32,7,18,48
27,3,1,4,2,4,1,1,1,1,2,2,8,34,1,17,52
27,8,1,4,2,4,1,1,1,1,1,2,8,34,1,17,59
93,3,1,4,2,4,1,1,1,1,1,2,7,30,3,9,62
24,3,1,4,2,4,1,1,1,1,1,2,8,32,1,15,90
84,3,1,4,2,4,1,1,1,1,3,2,5,19,3,8,53
84,3,1,4,2,4,1,1,1,1,2,2,5,19,6,9,87
84,2,1,4,2,4,1,1,1,1,2,2,5,18,1,18,52
84,3,1,4,2,4,1,1,1,1,2,2,5,21,3,17,42
84,3,1,4,2,4,1,2,1,1,2,2,5,21,3,17,40
84,3,1,4,2,4,1,1,1,1,3,2,5,21,3,17,72
84,3,1,4,2,4,1,1,1,1,2,2,5,21,3,18,75
84,3,1,4,2,4,1,1,1,1,3,2,5,21,5,18,67
53,2,1,4,2,4,1,1,1,1,1,2,5,18,3,8,37
53,8,1,4,2,4,1,1,1,1,1,2,5,18,3,8,44
24,3,1,4,2,4,1,1,1,1,2,2,8,33,5,12,93
76,3,1,4,2,4,1,1,1,1,2,2,8,33,7,18,33
76,3,1,4,2,4,1,1,1,1,2,2,8,33,7,18,35
76,3,1,4,2,4,1,1,1,1,3,2,8,34,5,7,39
53,3,1,4,2,3,1,1,1,1,2,2,6,26,2,18,41
84,3,1,4,2,4,1,1,1,1,3,2,6,26,2,11,63
84,3,1,4,2,4,6,1,1,1,2,2,6,22,3,7,84
84,3,1,4,2,4,1,1,1,1,3,2,6,22,3,8,51
84,1,1,4,2,4,1,1,1,1,1,2,6,22,4,12,69
84,3,1,4,2,4,1,1,1,1,3,2,6,23,5,8,75
27,3,1,4,2,4,1,1,1,1,3,2,9,36,1,7,48
52,3,1,4,3,4,1,1,3,1,2,2,10,41,7,5,37
75,3,1,4,2,4,1,1,3,1,2,2,9,39,2,17,96
84,3,1,4,3,4,1,1,1,1,2,2,4,14,7,21,63
75,3,1,4,3,4,1,3,1,1,2,2,8,34,1,4,40
75,3,1,4,3,4,1,2,1,1,2,2,8,34,1,4,54
75,3,1,4,3,4,1,5,1,1,2,2,8,34,1,4,15
75,3,1,4,3,4,1,4,1,1,2,2,8,34,1,4,33
75,3,1,4,3,4,1,5,1,1,2,2,8,34,1,4,17
75,3,1,4,3,4,1,1,1,1,2,2,8,34,1,4,53
28,2,1,4,2,4,1,1,1,1,1,2,9,36,1,12,45
28,2,1,4,2,4,1,3,1,1,1,2,9,36,1,12,42
28,2,1,4,2,4,1,2,1,1,1,2,9,36,1,12,46
28,3,1,4,2,4,1,1,1,1,3,2,9,36,1,17,43
28,2,1,4,4,4,1,1,3,1,3,2,2,6,6,19,71
44,5,1,4,1,4,1,1,1,1,1,2,10,42,2,19,51
11,11,2,7,2,3,2,1,1,1,1,2,10,40,2,9,49
11,3,2,7,2,3,1,1,3,1,3,2,10,40,2,10,46
11,3,2,4,2,4,1,1,3,1,1,2,10,40,3,9,106
11,3,2,4,2,4,4,1,1,1,3,2,10,40,3,10,51
11,2,2,4,2,4,1,1,1,1,3,2,10,40,3,17,66
11,3,2,7,4,3,1,1,1,1,2,2,10,40,3,19,38
11,2,2,8,2,4,1,1,1,1,3,2,10,40,5,7,37
11,3,2,4,2,4,1,1,3,1,6,2,10,40,4,9,43
11,15,2,4,2,4,1,1,2,1,2,2,10,40,4,13,69
11,3,2,7,2,3,4,1,1,1,3,2,10,40,4,18,70
11,3,2,4,2,4,1,1,1,1,2,2,10,40,6,14,35
11,3,2,4,2,4,1,1,1,1,2,2,10,40,6,14,50
11,3,2,4,2,4,1,1,1,1,6,2,10,40,6,14,50
11,3,2,4,2,4,1,1,1,1,3,2,10,40,6,17,48
11,3,2,4,4,4,1,1,1,1,2,2,10,40,6,22,47
11,3,2,7,4,3,4,1,3,1,2,2,10,41,1,0,43
11,3,2,4,2,4,5,1,1,1,1,2,10,41,1,9,42
11,14,2,4,2,4,2,1,2,1,1,2,10,41,1,9,55
11,3,2,4,2,4,5,1,1,1,3,2,10,41,1,10,55
11,3,2,4,2,4,1,1,1,1,2,2,10,41,1,11,65
11,10,2,4,2,4,1,1,3,1,1,2,10,41,2,11,63
11,3,2,4,2,4,1,1,1,1,3,2,10,41,2,15,44
11,2,2,4,4,4,7,1,1,1,2,2,10,41,2,19,60
11,3,2,4,4,4,1,1,1,1,2,2,10,41,2,21,39
11,3,2,4,2,4,1,1,1,1,3,2,10,41,3,9,64
11,3,2,4,2,4,1,1,1,1,1,2,10,41,4,14,63
11,2,2,4,1,4,1,1,3,1,3,2,10,41,4,18,67
11,3,2,4,1,4,1,1,1,1,2,2,10,41,7,18,44
11,3,2,4,3,4,2,1,1,1,1,2,10,41,7,20,49
11,2,2,4,2,4,1,1,1,1,3,2,10,41,5,8,63
11,3,2,8,2,4,4,1,3,1,1,2,10,41,5,8,68
11,19,2,7,2,4,5,1,2,1,2,2,10,41,5,12,48
11,3,2,4,1,4,1,1,1,1,2,2,10,41,5,19,62
11,3,2,4,4,4,2,1,1,1,2,2,10,41,5,22,47
11,2,2,4,2,3,1,1,1,1,3,2,10,41,6,14,49
11,3,2,4,2,3,1,1,1,1,2,2,10,41,6,14,53
11,3,2,4,2,4,1,1,1,1,2,2,10,41,6,14,46
11,3,2,7,2,3,1,1,1,1,1,2,10,41,6,18,57
11,3,2,8,4,4,1,1,1,1,2,2,10,41,6,20,69
11,3,2,4,2,4,1,1,1,1,3,2,10,42,2,8,57
11,3,2,4,4,4,1,1,1,1,1,2,10,42,2,20,43
11,3,2,4,4,4,7,1,3,1,3,2,10,42,1,19,58
11,3,2,4,2,4,1,1,1,1,1,2,10,42,1,15,74
11,3,2,4,2,4,1,1,3,1,1,2,10,42,1,15,43
11,19,2,4,2,4,1,1,2,1,1,2,10,42,1,15,65
11,2,2,4,2,4,1,1,4,1,1,2,10,42,1,16,52
11,3,2,4,4,4,1,1,1,1,1,2,10,42,1,20,77
11,3,2,4,1,4,1,1,1,1,3,2,10,42,4,8,35
11,3,2,4,1,4,1,1,1,1,1,2,10,42,4,17,43
11,11,2,7,2,3,1,1,3,1,1,2,10,42,3,9,57
11,3,2,7,2,3,1,1,3,1,6,2,10,42,3,12,54
11,2,2,4,2,4,4,1,1,1,1,2,10,42,5,13,54
11,3,2,4,2,4,1,1,1,1,2,2,10,42,5,15,72
11,3,2,7,4,3,2,1,1,1,2,2,10,42,6,1,40
11,2,2,7,2,3,4,1,1,1,2,2,10,42,6,10,60
11,3,2,7,2,3,1,1,1,1,2,2,10,42,6,11,83
11,3,2,4,2,3,1,1,4,1,1,2,10,42,6,16,62
11,12,2,4,4,3,2,1,2,1,2,2,10,42,6,22,41
11,3,2,4,4,4,4,1,1,1,2,2,10,42,7,18,54
11,3,2,4,4,4,1,1,1,1,1,2,10,42,7,3,35
11,3,2,4,4,4,1,1,1,1,2,2,10,43,2,17,43
11,2,2,4,4,4,2,1,1,1,6,2,10,43,2,22,72
11,3,2,4,2,4,5,1,3,1,3,2,10,43,1,9,62
11,10,2,4,2,4,1,1,1,1,1,2,10,43,1,10,62
11,3,2,4,2,4,1,1,1,1,2,2,10,43,3,7,51
11,3,2,4,2,4,1,1,1,1,2,2,10,43,3,13,40
11,3,2,4,2,4,1,1,1,1,2,2,10,43,3,13,37
11,3,2,4,2,4,1,1,1,1,1,2,10,43,3,16,50
11,3,2,4,4,4,4,1,1,1,3,2,10,43,3,18,43
11,12,2,4,4,4,4,1,2,1,2,2,10,43,3,18,67
11,3,2,4,4,4,2,1,1,1,2,2,10,43,3,22,41
11,2,2,4,2,4,1,1,1,1,1,2,10,43,4,7,52
11,3,2,4,4,4,1,1,1,1,2,2,10,43,4,22,43
11,3,2,4,4,4,1,1,3,1,2,2,10,43,6,1,57
76,3,2,4,2,4,1,1,1,1,2,2,6,22,6,15,55
76,3,2,4,2,4,1,1,1,1,2,2,6,23,4,17,32
27,3,2,4,2,4,6,1,1,1,2,2,6,24,3,17,43
76,8,2,4,1,4,1,1,1,1,1,2,9,35,3,20,52
53,3,2,4,2,4,1,1,1,1,5,2,2,7,1,18,51
53,2,2,4,2,3,1,1,1,1,1,2,5,21,1,9,56
44,3,2,4,2,4,1,1,1,1,1,2,2,7,3,17,70
44,3,2,4,2,4,1,1,1,1,2,2,7,26,4,16,59
84,3,2,4,2,4,1,1,1,1,2,2,7,28,3,14,69
84,3,2,4,2,4,1,1,1,1,3,2,7,28,1,10,58
27,3,2,4,2,4,1,1,1,1,1,2,7,29,5,10,66
32,7,2,4,2,4,1,1,2,1,3,2,7,26,3,21,36
32,3,2,4,2,4,1,1,1,1,2,2,7,28,2,19,44
52,3,2,4,2,4,1,1,1,1,3,2,8,31,4,19,43
75,3,2,4,2,4,1,1,1,1,2,2,9,36,7,11,81
75,15,2,4,2,4,3,5,2,1,2,2,9,38,3,15,30
11,3,2,4,2,4,1,1,1,1,2,2,2,5,2,10,70
11,2,2,4,2,4,7,1,1,1,1,2,2,8,3,14,63
11,3,2,4,2,4,1,1,1,1,3,2,2,8,2,15,35
11,3,2,4,2,4,1,1,1,1,3,2,2,8,1,12,72
11,2,2,4,2,4,1,1,1,1,1,2,3,10,4,11,55
11,6,2,4,2,4,1,1,2,1,2,2,3,11,5,13,36
11,6,2,4,2,4,1,1,2,1,2,2,3,11,5,13,33
11,15,2,4,2,4,2,2,2,1,2,2,3,11,5,16,34
11,2,2,4,2,4,2,1,1,1,6,2,3,11,5,16,49
11,8,2,7,1,3,1,1,1,1,1,2,3,12,3,6,53
11,3,2,7,2,6,1,1,1,1,3,2,3,12,6,7,90
84,3,2,7,2,3,1,1,3,1,1,2,2,5,4,14,44
84,3,2,7,4,3,1,2,1,1,6,2,2,5,6,20,66
84,3,2,7,4,3,1,1,1,1,2,2,2,5,6,20,64
84,3,1,4,2,4,1,1,1,4,3,2,7,27,1,14,68
27,6,1,4,2,4,1,1,2,4,2,2,7,27,4,15,29
75,3,1,4,3,4,1,1,4,4,2,2,8,33,4,1,83
75,7,1,4,2,4,1,1,2,4,2,2,7,30,2,20,41
75,7,1,4,2,4,1,1,2,4,6,2,8,31,2,12,43
27,8,1,4,1,4,1,1,1,4,1,2,7,27,5,5,58
27,3,1,4,3,4,1,1,1,4,2,2,8,32,5,3,72
84,7,1,4,2,4,1,1,2,4,2,2,5,21,3,18,43
27,18,2,7,2,3,9,1,7,3,5,2,7,28,5,8,81
27,6,2,4,2,4,1,1,2,3,2,2,7,29,7,18,29
27,7,2,4,2,4,1,1,2,3,2,2,8,32,2,16,56
76,15,2,4,2,4,1,1,2,3,2,2,7,30,4,15,31
11,15,2,4,4,4,1,1,1,3,2,2,6,25,3,22,79
11,3,2,4,2,4,1,1,1,3,5,2,6,23,2,17,52
11,6,2,4,2,4,1,1,2,3,3,2,6,25,2,18,32
75,7,2,4,2,4,1,1,2,3,2,2,8,32,3,11,36
44,15,2,4,2,4,1,1,2,3,2,2,8,34,2,10,28
44,12,2,7,2,3,4,1,2,3,2,2,8,34,3,9,63
76,12,2,4,2,4,1,1,2,3,2,2,8,32,5,19,42
76,3,2,4,2,4,1,1,1,3,2,2,8,34,5,16,58
76,3,2,4,4,4,3,1,1,3,2,2,8,33,6,22,40
76,3,2,4,4,4,3,3,8,3,2,2,8,33,6,22,14
76,3,2,4,4,4,3,5,1,3,2,2,8,33,6,22,34
44,15,2,4,4,4,1,2,9,3,2,2,9,38,4,22,31
44,18,2,4,2,4,1,1,12,3,2,2,9,35,4,11,34
52,19,2,4,2,4,1,1,2,3,2,2,7,29,1,18,36
76,3,1,4,2,4,1,1,1,3,2,2,8,31,3,19,70
27,2,1,4,2,4,1,1,1,3,1,2,6,23,1,11,43
53,7,1,4,2,4,1,1,2,3,2,2,3,9,6,17,41
53,3,1,1,2,4,1,1,1,3,5,2,4,15,6,17,73
53,7,1,1,2,4,1,1,2,3,3,2,4,15,6,17,44
28,2,1,4,2,4,1,1,1,3,1,2,8,31,2,8,37
28,3,1,4,2,4,1,1,3,3,6,2,8,32,7,6,83
84,15,1,4,2,4,1,1,2,3,2,2,7,28,3,17,33
84,3,1,4,3,4,1,2,1,3,2,2,7,29,6,0,39
27,7,1,4,2,4,1,1,2,3,3,2,9,36,2,11,53
27,3,1,7,2,3,1,1,1,3,2,2,7,28,5,14,98
44,5,1,3,3,3,1,1,3,3,1,2,3,12,5,5,46
32,2,1,4,2,4,1,1,1,3,3,2,7,28,3,7,59
32,7,1,4,3,4,1,1,2,3,2,2,7,30,5,22,61
52,1,1,7,3,3,1,1,1,3,1,2,8,34,4,4,58
84,7,1,4,2,4,1,1,2,3,6,2,6,23,7,18,37
75,7,1,4,2,4,1,1,2,3,1,2,9,35,7,16,60
11,3,1,4,5,3,1,1,1,3,2,2,2,5,6,19,46
11,3,1,4,5,3,1,1,1,3,2,2,2,5,6,19,41
11,3,1,4,5,3,1,2,1,3,2,2,2,5,6,19,38
11,3,1,4,2,4,1,1,1,3,3,2,3,10,2,16,40
11,3,1,4,2,4,1,1,1,3,3,2,3,10,3,8,43
11,3,1,4,2,4,1,1,1,3,6,2,3,13,1,14,96
11,3,1,8,2,3,1,1,1,3,5,2,3,12,6,16,75
44,7,1,4,2,4,1,1,2,3,2,2,8,33,7,15,63
44,6,1,4,2,4,1,1,2,3,2,2,8,33,7,15,30
44,6,1,4,2,4,1,2,2,3,2,2,8,33,7,15,30
44,19,1,4,2,4,1,1,2,3,4,2,9,39,1,9,35
84,18,1,4,2,4,1,1,7,3,2,2,7,26,7,11,85
84,7,1,4,2,4,2,1,2,3,3,2,3,13,1,16,64
75,9,1,4,2,4,1,1,1,3,6,2,8,32,5,9,36
75,7,1,4,2,4,1,1,2,3,2,2,8,33,4,15,37
93,18,1,4,2,4,1,1,2,3,2,2,6,24,5,7,46
84,3,1,4,2,4,1,1,1,3,2,2,4,13,7,9,75
84,3,1,4,2,4,1,2,1,3,2,2,4,13,7,9,73
84,7,1,4,2,4,1,1,2,3,2,2,4,13,6,13,61
75,1,1,4,3,4,1,1,4,3,2,2,4,14,1,1,79
75,7,1,4,2,4,1,1,2,3,2,2,6,25,7,15,61
75,3,1,4,2,4,1,1,1,3,5,2,6,25,5,18,80
75,3,1,4,2,4,1,1,1,3,3,2,8,34,6,12,42
75,3,1,4,3,4,1,1,1,3,6,2,8,34,1,5,46
27,18,1,4,2,4,1,1,12,3,2,2,7,30,3,14,53
27,3,1,4,2,4,6,3,1,3,2,2,8,32,7,18,21
27,3,1,4,2,4,6,4,1,3,2,2,8,32,7,18,47
27,3,1,4,2,4,6,2,1,3,2,2,8,32,7,18,25
84,7,1,4,2,4,1,1,2,3,3,2,5,19,3,8,44
84,3,1,4,2,4,1,1,1,3,3,2,5,19,4,13,74
53,3,1,4,2,4,1,1,1,3,2,2,5,21,3,19,97
53,3,1,4,2,4,1,1,1,3,3,2,5,21,3,19,50
24,18,1,4,2,4,1,1,7,3,2,2,8,33,5,12,60
52,7,1,4,2,4,1,1,2,3,3,2,9,36,1,11,38
76,7,1,4,2,4,1,1,2,3,3,2,8,34,5,7,34
84,3,1,4,2,4,1,1,1,3,3,2,6,26,2,11,43
84,2,1,4,2,4,6,1,1,3,1,2,6,22,3,7,39
84,2,1,4,2,4,1,1,1,3,1,2,6,22,4,12,53
27,6,1,4,2,4,1,1,2,3,3,2,9,36,1,7,53
52,15,1,4,3,4,1,1,2,3,2,2,10,41,7,5,29
32,8,1,4,2,4,1,1,1,3,3,2,8,31,4,16,63
75,3,1,4,3,4,1,1,1,3,2,2,8,34,1,4,79
28,7,1,4,2,4,1,1,2,3,4,2,9,36,1,17,53
44,3,1,4,1,4,1,1,1,3,2,2,10,42,2,19,52
11,3,2,4,2,4,1,1,1,3,1,2,10,41,2,9,54
11,3,2,4,4,4,1,1,3,3,2,2,10,41,7,0,55
11,7,2,4,2,4,1,1,2,3,4,2,10,41,5,8,34
11,7,2,4,4,4,1,1,2,3,2,2,10,42,2,20,34
11,19,2,4,2,4,1,1,2,3,2,2,10,42,1,15,65
11,18,2,7,2,3,1,1,9,3,2,2,10,42,3,17,83
11,19,2,4,4,4,1,1,2,3,3,2,10,43,2,17,63
53,6,2,4,2,4,1,1,2,3,2,2,2,7,1,18,31
44,7,2,4,2,4,1,1,2,3,2,2,7,26,4,16,58
84,15,2,4,2,4,1,1,2,3,2,2,7,28,3,14,34
32,7,2,4,2,4,1,1,2,3,3,2,7,26,3,21,38
52,6,2,4,2,4,1,1,2,3,2,2,8,31,4,19,29
11,18,2,4,2,4,1,1,5,3,2,2,2,7,1,16,22
